Codepoint: U+0635, wchar_t: 
Codepoint: U+0641, wchar_t: 
Codepoint: U+062D, wchar_t: 
Codepoint: U+0647, wchar_t: 
Codepoint: U+003A, wchar_t: :
Codepoint: U+000D, wchar_t: 
Codepoint: U+000A, wchar_t: 

Codepoint: U+000D, wchar_t: 
Codepoint: U+000A, wchar_t: 

Codepoint: U+0020, wchar_t:  
Codepoint: U+0020, wchar_t:  
Codepoint: U+0020, wchar_t:  
Codepoint: U+0020, wchar_t:  
Codepoint: U+0020, wchar_t:  
Codepoint: U+0020, wchar_t:  
Codepoint: U+0020, wchar_t:  
Codepoint: U+0020, wchar_t:  
Codepoint: U+0631, wchar_t: 
Codepoint: U+0646, wchar_t: 
Codepoint: U+06AF, wchar_t: 
Codepoint: U+0020, wchar_t:  
Codepoint: U+067E, wchar_t: 
Codepoint: U+0633, wchar_t: 
Codepoint: U+0020, wchar_t:  
Codepoint: U+0632, wchar_t: 
Codepoint: U+0645, wchar_t: 
Codepoint: U+06CC, wchar_t: 
Codepoint: U+0646, wchar_t: 
Codepoint: U+0647, wchar_t: 
Codepoint: U+0020, wchar_t:  
Codepoint: U+003D, wchar_t: =
Codepoint: U+0020, wchar_t:  
Codepoint: U+0022, wchar_t: "
Codepoint: U+0632, wchar_t: 
Codepoint: U+0631, wchar_t: 
Codepoint: U+062F, wchar_t: 
Codepoint: U+0022, wchar_t: "
Codepoint: U+000D, wchar_t: 
Codepoint: U+000A, wchar_t: 

Codepoint: U+0020, wchar_t:  
Codepoint: U+0020, wchar_t:  
Codepoint: U+0020, wchar_t:  
Codepoint: U+0020, wchar_t:  
Codepoint: U+0020, wchar_t:  
Codepoint: U+0020, wchar_t:  
Codepoint: U+0020, wchar_t:  
Codepoint: U+0020, wchar_t:  
Codepoint: U+067E, wchar_t: 
Codepoint: U+0630, wchar_t: 
Codepoint: U+06CC, wchar_t: 
Codepoint: U+0631, wchar_t: 
Codepoint: U+0627, wchar_t: 
Codepoint: U+003A, wchar_t: :
Codepoint: U+000D, wchar_t: 
Codepoint: U+000A, wchar_t: 

Codepoint: U+0020, wchar_t:  
Codepoint: U+0020, wchar_t:  
Codepoint: U+0020, wchar_t:  
Codepoint: U+0020, wchar_t:  
Codepoint: U+0020, wchar_t:  
Codepoint: U+0020, wchar_t:  
Codepoint: U+0020, wchar_t:  
Codepoint: U+0020, wchar_t:  
Codepoint: U+0020, wchar_t:  
Codepoint: U+0020, wchar_t:  
Codepoint: U+0020, wchar_t:  
Codepoint: U+0020, wchar_t:  
Codepoint: U+0634, wchar_t: 
Codepoint: U+0631, wchar_t: 
Codepoint: U+0637, wchar_t: 
Codepoint: U+0020, wchar_t:  
Codepoint: U+062D, wchar_t: 
Codepoint: U+062F, wchar_t: 
Codepoint: U+0627, wchar_t: 
Codepoint: U+06A9, wchar_t: 
Codepoint: U+062B, wchar_t: 
Codepoint: U+0631, wchar_t: 
Codepoint: U+0020, wchar_t:  
Codepoint: U+0639, wchar_t: 
Codepoint: U+0631, wchar_t: 
Codepoint: U+0636, wchar_t: 
Codepoint: U+0020, wchar_t:  
Codepoint: U+003D, wchar_t: =
Codepoint: U+0020, wchar_t:  
Codepoint: U+0035, wchar_t: 5
Codepoint: U+0030, wchar_t: 0
Codepoint: U+0030, wchar_t: 0
Codepoint: U+000D, wchar_t: 
Codepoint: U+000A, wchar_t: 

Codepoint: U+0020, wchar_t:  
Codepoint: U+0020, wchar_t:  
Codepoint: U+0020, wchar_t:  
Codepoint: U+0020, wchar_t:  
Codepoint: U+0020, wchar_t:  
Codepoint: U+0020, wchar_t:  
